2015-10-09 16:24:57,372 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] Attaching MemberTypes events
2015-10-09 16:24:57,373 [6] INFO  jumps.umbraco.usync.uSync - [P15332/T1/D2] uSync Initialized (4470ms)
2015-10-09 16:24:57,374 [6] INFO  jumoo.usync.content.ContentSync - [P15332/T1/D2] Initalizing uSync Content Edition
2015-10-09 16:24:57,393 [6] INFO  jumoo.usync.content.MediaExporter - [P15332/T1/D2] Exporting Content
2015-10-09 16:24:57,431 [6] INFO  jumoo.usync.content.MediaExporter - [P15332/T1/D2] Media Export Complete [0.0381253 Seconds]
2015-10-09 16:24:57,439 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] ## Import Starting
2015-10-09 16:24:57,497 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Blog Extras no change
2015-10-09 16:24:57,528 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Authors no change
2015-10-09 16:24:57,564 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] John Smith no change
2015-10-09 16:24:57,604 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Categories no change
2015-10-09 16:24:57,636 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Business no change
2015-10-09 16:24:57,654 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Information Tech no change
2015-10-09 16:24:57,699 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Home no change
2015-10-09 16:24:57,743 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Blog no change
2015-10-09 16:24:57,797 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] My First Post no change
2015-10-09 16:24:57,830 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] My Second Post no change
2015-10-09 16:24:57,835 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] ## Import Complete [0.3951018 Seconds]
2015-10-09 16:24:57,835 [6] INFO  jumoo.usync.content.MediaImporter - [P15332/T1/D2] >> Media Import starting
2015-10-09 16:24:57,841 [6] INFO  jumoo.usync.content.MediaImporter - [P15332/T1/D2] << Media Import complete [0.0056422 seconds]
2015-10-09 16:24:57,844 [6] INFO  jumoo.usync.content.ContentImporter - [P15332/T1/D2] Mapping Ids on 0 changed nodes
2015-10-09 16:24:57,845 [6] INFO  jumoo.usync.content.ContentEvents - [P15332/T1/D2] Attaching to Save/Delete events
2015-10-09 16:24:57,846 [6] INFO  jumoo.usync.content.MediaEvents - [P15332/T1/D2] attaching to media events
2015-10-09 16:24:57,848 [6] INFO  jumoo.usync.content.ContentSync - [P15332/T1/D2] uSync Content Edition Initilized [0.4730944 seconds]
2015-10-09 16:24:57,849 [6] INFO  UmbracoBookshelf.Examine.BookshelfExamineDataService - [P15332/T1/D2] UmbracoBookshelf.Examine.BookshelfExamineDataService
2015-10-09 16:24:57,858 [6] INFO  Umbraco.Core.CoreBootManager - [P15332/T1/D2] Umbraco application startup complete (took 7424ms)
2015-10-09 16:24:58,237 [6] INFO  Umbraco.Core.ApplicationContext - [P15332/T1/D2] ApplicationUrl: http://localhost:50078/umbraco (UmbracoModule request)
2015-10-09 16:24:58,308 [6] INFO  umbraco.content - [P15332/T1/D2] Load Xml from file...
2015-10-09 16:24:58,325 [6] INFO  umbraco.content - [P15332/T1/D2] Loaded Xml from file.
2015-10-09 16:25:59,531 [6] INFO  umbraco.BusinessLogic.Log - [P15332/T1/D2] Log scrubbed.  Removed all items older than 2015-08-10 16:25:59
2015-10-09 16:26:05,857 [6] INFO  Umbraco.Core.Security.UmbracoMembershipProviderBase - [P15332/T1/D2] Login attempt failed for username admin from IP address ::1
2015-10-09 16:26:09,244 [6] INFO  Umbraco.Core.Security.UmbracoMembershipProviderBase - [P15332/T1/D2] Login attempt succeeded for username admin from IP address ::1
2015-10-09 16:26:09,274 [6] INFO  Umbraco.Web.Security.WebSecurity - [P15332/T1/D2] User Id: 0 logged in
2015-10-09 16:26:09,366 [6] INFO  Umbraco.Core.PluginManager - [P15332/T1/D2] Starting resolution types of Umbraco.Web.Trees.TreeController
